iter	MultiClass
0	1.363124943
1	1.193098822
2	1.071486763
3	0.9591093408
4	0.8716147851
5	0.796720669
6	0.7373413824
7	0.693920695
8	0.655366858
9	0.6142818962
10	0.585221148
11	0.5625437707
12	0.5416621338
13	0.518144239
14	0.5015851523
15	0.4841271945
16	0.466675824
17	0.4546841366
18	0.4430359911
19	0.4330054473
20	0.422720633
21	0.4128031748
22	0.4068651229
23	0.4013358977
24	0.3962609662
25	0.3903166186
26	0.3857552934
27	0.3818521117
28	0.3786032469
29	0.3759753184
30	0.3732576377
31	0.3696928077
32	0.3665943707
33	0.3648565557
34	0.363933089
35	0.36213106
36	0.3604931131
37	0.3578773528
38	0.3563967113
39	0.3540186167
40	0.3527712091
41	0.3515225324
42	0.3489463321
43	0.3477447202
44	0.3458031126
45	0.3439820435
46	0.342575792
47	0.3415145148
48	0.3390876597
49	0.3370350207
50	0.3349354439
51	0.3339419523
52	0.3323870196
53	0.3307781806
54	0.3298137315
55	0.3284389963
56	0.3268038063
57	0.3259228221
58	0.3245410101
59	0.3234446444
60	0.3221246134
61	0.3209060747
62	0.3197902988
63	0.3185278484
64	0.3174956305
65	0.3160779305
66	0.3152055878
67	0.313840493
68	0.3128743666
69	0.3119122255
70	0.3112628386
71	0.3097408829
72	0.3090324302
73	0.3074582968
74	0.3064934489
75	0.304674033
76	0.3040582161
77	0.3031690843
78	0.3027782388
79	0.3020025649
80	0.3013734667
81	0.3002675722
82	0.2997361902
83	0.2989907632
84	0.2978572344
85	0.2963810949
86	0.2958655181
87	0.2952838596
88	0.2941572465
89	0.2934264242
90	0.2921442902
91	0.2910209134
92	0.2896568786
93	0.288749324
94	0.288150468
95	0.2873514387
96	0.2865488758
97	0.2859563508
98	0.2849896203
99	0.283393796
