iter	Passed	Remaining
0	164	16299
1	181	8906
2	198	6429
3	215	5169
4	232	4413
5	248	3888
6	261	3467
7	278	3200
8	288	2922
9	298	2684
10	307	2489
11	317	2330
12	327	2191
13	337	2070
14	357	2028
15	374	1965
16	389	1900
17	400	1823
18	412	1757
19	423	1694
20	432	1628
21	442	1569
22	452	1513
23	461	1462
24	471	1415
25	481	1369
26	490	1326
27	500	1285
28	509	1248
29	519	1211
30	529	1179
31	540	1148
32	550	1118
33	561	1089
34	572	1062
35	582	1035
36	596	1016
37	624	1018
38	637	997
39	649	973
40	660	949
41	671	927
42	691	916
43	701	892
44	711	869
45	720	846
46	730	823
47	739	801
48	749	779
49	758	758
50	768	738
51	777	717
52	787	698
53	793	675
54	812	664
55	834	655
56	846	638
57	856	620
58	869	604
59	880	587
60	898	574
61	924	566
62	938	551
63	957	538
64	969	521
65	998	514
66	1019	502
67	1030	484
68	1040	467
69	1050	450
70	1068	436
71	1081	420
72	1099	406
73	1112	390
74	1122	374
75	1131	357
76	1155	345
77	1177	332
78	1192	316
79	1201	300
80	1211	284
81	1221	268
82	1234	252
83	1264	240
84	1287	227
85	1306	212
86	1316	196
87	1325	180
88	1335	165
89	1356	150
90	1374	135
91	1385	120
92	1396	105
93	1407	89
94	1418	74
95	1429	59
96	1443	44
97	1470	30
98	1488	15
99	1498	0
